correlation,contrast,energy,inv_diff_moment
1.30613,1.19094,0.28637,-0.69179
-0.54402,0.39082,-1.06596,2.04818
0.77112,0.47674,-0.09492,2.22997
1.65632,-0.52932,-0.44079,2.74351
0.28348,0.03078,-0.14934,1.06916
1.14674,0.23671,0.26912,1.73452
0.15268,0.10053,-0.04018,1.17721
-0.18524,0.33327,0.11567,1.29904
-0.25316,0.56858,0.30333,0.8174
1.62596,0.09442,0.67836,1.15911
-0.52808,0.61016,0.25961,1.0825
1.38692,0.29878,0.62929,0.75077
0.60234,-0.15824,0.39552,0.66463
-0.56612,4.34567,-0.23439,-2.59458
0.95459,2.34676,0.30689,-1.16297
1.41473,-0.50094,-0.31738,2.63451
1.25964,1.39038,0.67627,-0.49809
0.20436,-0.00904,-0.2674,1.14579
0.41093,0.26252,0.58438,0.55468
0.57618,1.71417,0.09929,0.39762
0.44296,0.6409,0.52222,0.15964
0.97748,0.80387,0.50527,0.7303
0.4565,-0.34504,0.26793,0.85119
-0.00078,2.03973,0.13142,-1.45661
0.28201,-0.35096,-0.2332,1.14913
0.08874,2.587,0.32979,-1.81405
0.94052,0.54237,0.50646,1.22337
0.34606,-0.31077,-0.17135,2.29326
0.48573,1.46151,0.18258,-0.6147
0.38646,-0.09989,0.27953,0.82835
1.32225,-0.53601,-0.64929,2.74873
0.50099,0.65352,0.25455,1.99392
1.12804,0.85296,0.32385,-0.31151
-0.1871,2.66267,0.34556,-1.74027
1.3427,0.74495,0.56029,0.50233
-0.01189,1.70787,0.5365,-1.10586
0.51787,2.1085,0.49397,0.26436
1.21792,0.65332,0.50378,1.07868
-0.10092,0.53882,0.42288,0.35526
0.94213,-0.40162,-0.68646,2.86297
1.20559,-0.5569,-0.76141,2.96576
1.49266,-0.17892,0.06718,2.31801
1.05593,-0.35806,-0.60646,3.01004
0.84686,1.38209,0.59717,0.63416
1.24216,1.06028,0.24622,-0.45144
1.23977,0.14269,0.47493,1.98725
-0.62491,0.53941,0.14154,1.19862
0.61309,1.79221,0.31046,0.56182
0.73835,-0.07289,-0.04257,2.33848
1.06,-0.34978,0.16829,2.57216
1.21935,0.00081,0.40534,1.86636
1.08668,0.18527,0.20667,2.11432
0.89213,0.85572,0.40058,0.97969
0.61149,0.60366,0.37054,1.97724
0.07756,2.44511,0.63286,-1.53086
1.35387,1.18029,0.29678,-0.69559
0.14801,2.00031,0.57129,0.82692
0.98656,1.31273,0.43895,0.67652
0.81818,2.2845,0.2034,-1.06968
0.06721,0.77924,0.61561,-0.10021
0.24093,0.06643,0.14361,0.8093
0.53866,0.45211,0.5127,0.33861
1.36278,1.29046,0.78483,-0.43622
0.9148,0.67639,0.60728,0.72696
-0.21164,0.60228,0.38898,0.78552
-0.19902,0.10387,-0.84826,2.7416
-0.10752,0.20675,-0.2564,1.17197
0.80829,1.37382,0.18198,0.33004
0.81526,0.90183,0.58349,1.41469
0.77575,1.15527,0.45233,0.9378
0.80861,-0.68048,-0.16539,1.31951
-0.41204,0.3918,-0.07767,1.31712
-0.04517,0.09778,-0.18384,1.15292
0.084,0.75914,0.55256,-0.10831
1.27843,0.06051,0.50229,2.06101
0.9103,1.58351,0.25366,0.22391
-0.00895,0.2438,-0.13119,1.04298
0.08924,0.30765,0.06718,0.94208
-0.102,1.08707,-0.40093,3.29415
0.75233,1.17084,0.52252,1.2443
1.70426,-0.57741,-0.46727,2.72971
0.58091,0.09205,-0.52674,2.9791
1.59038,0.48502,0.66647,0.40286
-0.04234,0.31691,-1.40054,3.1252
0.01159,2.18537,0.01514,-1.72504
1.31372,0.91897,0.48088,-0.26059
-0.24824,0.27632,-0.57047,1.44944
0.99254,0.31356,-0.19899,2.14144
-0.51398,3.27458,0.07937,-1.50183
1.54307,-0.1598,0.29351,1.67408
1.21086,1.21518,0.39195,-0.54758
1.14361,0.36736,0.3408,1.7331
-0.11038,1.05692,0.52192,0.38715
-0.1273,1.1192,-0.84201,3.16089
-0.088,-0.14504,-0.14754,1.10485
0.04133,0.7826,0.84937,0.32052
-0.28462,1.03229,0.60728,0.25532
0.53405,-0.69782,-0.58861,1.30571
0.22901,-0.46094,-1.31578,2.61025
-0.09552,0.80447,0.51389,-0.0788
0.52223,-0.59929,-0.46667,1.2305
0.49735,0.58416,0.30779,0.57325
0.64021,0.3451,-0.20198,2.20046
1.4045,1.20019,0.27715,-0.71321
0.62994,1.43529,0.45976,0.97874
-0.35188,0.53724,0.34199,0.43332
0.99344,0.89157,0.4562,1.00777
0.31934,0.39476,0.30719,0.40524
0.58739,0.12754,0.06509,2.49983
0.41931,0.7426,-0.49404,2.37038
1.33235,-0.54192,-0.75486,2.86106
0.70316,0.05757,-0.00301,2.43796
0.82947,2.33908,0.28548,-1.1482
0.06373,1.98966,0.29351,0.42618
0.09014,0.94026,0.40504,0.09304
-0.04922,2.63686,0.38036,-1.77502
0.69916,-0.8058,-0.94104,1.53081
1.03781,0.52759,0.52728,1.07012
0.82112,-0.77133,-0.33433,1.5094
0.01109,2.19521,0.62512,0.87402
-0.00345,1.94532,0.6168,-1.14678
0.22002,0.11413,0.07312,1.09105
-0.56366,0.29681,-0.81376,1.54082
0.58275,-0.30525,0.36281,0.8507
0.51895,-0.62647,-0.51991,1.18292
0.4097,0.3648,0.41188,0.44188
0.63181,0.9444,0.42526,1.75308
1.69593,-0.5983,-0.58772,2.81679
0.9686,-0.33697,0.07551,2.56788
1.30482,1.01495,0.66408,-0.08498
-0.55503,3.19969,0.04161,-1.47184
0.51149,1.40418,0.57456,1.0882
0.60682,1.92897,0.28786,0.4119
0.60826,1.39688,0.5359,1.03015
0.91883,2.1968,0.21381,-0.93309
-0.05106,0.71659,0.79049,0.29625
0.0696,2.69105,0.2944,-2.01061
1.15571,0.43812,0.07728,1.84209
0.65396,0.98932,0.37084,0.97447
0.5814,-0.60301,-0.54252,1.24621
0.41695,0.73255,0.58795,0.16822
0.47127,0.25385,0.41813,0.57848
0.69242,-0.65801,-0.48988,1.33711
0.4063,0.44541,0.03892,2.65213
0.2447,1.29085,0.64536,-0.90454
0.92856,0.35278,-0.34205,2.27282
1.45528,-0.14582,0.04488,2.3023
-0.10021,1.09968,0.49367,0.12158
-0.49645,3.41373,-0.35188,-2.55222
0.71864,2.2707,0.01097,-0.60708
0.8226,0.76544,0.35002,0.153
-0.10709,-0.14129,-0.20435,1.12104
1.74561,-0.10483,0.51092,1.56223
0.46611,0.08358,0.27537,0.74886
-0.02629,1.6235,0.33515,-1.15154
0.10205,2.03854,0.64713,0.76696
0.89121,2.35663,0.2715,-1.1563
0.17885,0.35337,0.51508,0.42951
-0.20376,2.5062,0.01157,-1.99394
0.55788,0.49034,0.31492,2.04341
0.84624,1.05614,0.22659,-0.16875
0.53046,-0.52716,-0.04791,1.24812
1.29743,0.66376,0.80118,0.59038
1.26151,-0.01575,0.38036,2.01867
0.88939,0.52128,-0.09908,1.93393
0.92267,-0.30583,-0.21477,2.62548
0.32994,0.29997,0.55404,0.321
1.57419,0.51281,0.6397,0.32766
-0.50846,0.55458,0.14331,1.01301
0.23061,-0.34486,-0.30309,1.15341
1.41372,0.95641,0.59062,-0.3039
-0.16132,1.05869,-0.45061,3.20705
1.3464,-0.54961,-0.68439,2.80253
-0.1443,0.31751,0.11208,1.27096
0.05759,1.94592,0.45025,-0.76222
0.38551,2.19423,0.55761,0.23343
0.5666,1.53896,0.5365,0.94496
0.23184,0.96253,0.67034,-0.02166
0.17078,0.6078,-0.81673,2.5717
0.90717,2.28489,0.39136,-1.17249
0.85643,1.47886,0.66022,0.51661
1.2889,0.87306,0.88297,0.4633
1.27919,0.71125,0.54006,1.00253
0.76319,-0.11251,0.24087,2.52076
-0.04961,1.51984,0.31344,-1.10966
-0.88651,0.44009,-0.74327,2.279
1.52039,-0.15329,0.12903,2.19475
1.3306,1.22818,0.47166,-0.41669
0.31124,0.42018,0.37411,0.37621
1.41011,-0.52971,-0.5684,2.96482
0.29269,0.41466,0.58557,0.35574
0.37295,2.33218,0.06003,-1.07635
0.34774,-0.40793,-0.30042,1.1615
-0.63721,3.96159,0.06539,-2.48464
0.46758,-0.43808,-1.02849,2.55503
0.77846,0.53173,0.52014,1.81877
